date,cases,total_cases,Deaths,total_deaths
2020-03-07,1,1,0,0
2020-03-08,2,3,0,0
2020-03-09,0,3,0,0
2020-03-10,2,5,0,0
2020-03-11,1,6,0,0
2020-03-12,1,7,0,0
2020-03-13,1,8,0,0
2020-03-14,10,18,0,0
2020-03-15,1,19,0,0
2020-03-16,11,30,0,0
2020-03-17,8,38,0,0
2020-03-18,10,48,0,0
2020-03-19,4,52,0,0
2020-03-20,12,64,0,0
2020-03-21,9,73,0,0
2020-03-22,17,90,0,0
2020-03-23,17,107,0,0
2020-03-24,7,114,0,0
2020-03-25,15,129,0,0
2020-03-26,5,134,0,0
2020-03-27,5,139,0,0
2020-03-28,10,149,0,0
2020-03-29,2,151,0,0
2020-03-30,5,156,0,0
2020-03-31,13,169,0,0
2020-04-01,19,188,0,0
2020-04-02,7,195,0,0
2020-04-03,7,202,0,0
2020-04-04,11,213,0,0
2020-04-05,14,227,0,0
2020-04-06,14,241,0,0
2020-04-07,52,293,0,0
2020-04-08,6,299,0,0
2020-04-09,38,337,1,1
2020-04-10,13,350,1,2
2020-04-11,20,370,0,2
2020-04-12,8,378,1,3
2020-04-13,6,384,0,3
2020-04-14,9,393,0,3
2020-04-15,6,399,0,3
2020-04-16,13,412,0,3
2020-04-17,10,422,0,3
2020-04-18,4,426,0,3
2020-04-19,1,427,0,3
2020-04-20,4,431,0,3
2020-04-21,12,443,0,3
2020-04-22,1,444,0,3
2020-04-23,0,444,0,3
2020-04-24,2,446,0,3
2020-04-25,1,447,0,3
2020-04-26,2,449,1,4
2020-04-27,0,449,0,4
2020-04-28,8,457,0,4
2020-04-29,5,462,0,4
2020-04-30,2,464,0,4
2020-05-01,2,466,0,4
2020-05-02,1,467,0,4
2020-05-03,9,476,0,4
2020-05-04,3,479,0,4
2020-05-05,1,480,0,4
2020-05-06,3,483,1,5
2020-05-07,2,485,0,5
2020-05-08,3,488,0,5
2020-05-09,1,489,0,5
2020-05-10,6,495,0,5
2020-05-11,7,502,0,5
2020-05-12,3,505,0,5
2020-05-13,2,507,1,6
2020-05-14,14,521,0,6
2020-05-15,10,531,0,6
2020-05-16,14,545,0,6
2020-05-17,7,552,0,6
2020-05-18,5,557,0,6
2020-05-19,11,568,0,6
2020-05-20,15,583,0,6
2020-05-21,15,598,0,6
2020-05-22,1,599,0,6
2020-05-23,9,608,0,6
2020-05-24,1,609,0,6
2020-05-25,1,610,0,6
2020-05-26,0,610,0,6
2020-05-27,1,611,0,6
2020-05-28,4,615,1,7
2020-05-29,0,615,0,7
2020-05-30,2,617,2,9
2020-05-31,0,617,0,9
2020-06-01,1,618,0,9
2020-06-02,1,619,0,9
2020-06-03,2,621,0,9
2020-06-04,0,621,0,9
2020-06-05,3,624,0,9
2020-06-06,2,626,0,9
2020-06-07,2,628,0,9
2020-06-08,1,629,0,9
2020-06-09,2,631,0,9
2020-06-10,3,634,0,9
2020-06-11,5,639,0,9
2020-06-12,5,644,0,9
2020-06-13,1,645,0,9
2020-06-14,2,647,0,9
2020-06-15,2,649,0,9
2020-06-16,6,655,0,9
2020-06-17,6,661,0,9
2020-06-18,1,662,0,9
2020-06-19,0,662,0,9
2020-06-20,1,663,0,9
2020-06-21,1,664,0,9
2020-06-22,0,664,0,9
2020-06-23,0,664,0,9
2020-06-24,0,664,0,9
2020-06-25,3,667,0,9
2020-06-26,2,669,0,9
2020-06-27,0,669,0,9
2020-06-28,0,669,0,9
2020-06-29,0,669,0,9
2020-06-30,0,669,0,9
2020-07-01,1,670,0,9
2020-07-02,0,670,0,9
2020-07-03,1,671,0,9
2020-07-04,0,671,0,9
2020-07-05,0,671,0,9
2020-07-06,0,671,0,9
2020-07-07,1,672,0,9
2020-07-08,0,672,0,9
2020-07-09,1,673,0,9
2020-07-10,0,673,0,9
2020-07-11,0,673,0,9
2020-07-12,0,673,0,9
2020-07-13,0,673,0,9
2020-07-14,0,673,0,9
2020-07-15,0,673,0,9
2020-07-16,0,673,0,9
2020-07-17,0,673,0,9
2020-07-18,1,674,0,9
2020-07-19,0,674,0,9
2020-07-20,1,675,0,9
2020-07-21,0,675,0,9
2020-07-22,2,677,0,9
2020-07-23,1,678,0,9
2020-07-24,2,680,0,9
2020-07-25,4,684,0,9
2020-07-26,14,698,0,9
2020-07-27,1,699,0,9
2020-07-28,6,705,0,9
2020-07-29,13,718,0,9
2020-07-30,9,727,0,9
2020-07-31,9,736,0,9
2020-08-01,18,754,0,9
2020-08-02,15,769,0,9
2020-08-03,14,783,0,9
2020-08-04,16,799,0,9
2020-08-05,21,820,0,9
2020-08-06,19,839,0,9
2020-08-07,50,889,0,9
2020-08-08,40,929,0,9
2020-08-09,54,983,0,9
2020-08-10,23,1006,0,9
2020-08-11,29,1035,0,9
2020-08-12,49,1084,0,9
2020-08-13,55,1139,0,9
2020-08-14,31,1170,0,9
2020-08-15,72,1242,0,9
2020-08-16,63,1305,0,9
2020-08-17,68,1373,0,9
2020-08-18,49,1422,0,9
2020-08-19,47,1469,0,9
2020-08-20,40,1509,0,9
2020-08-21,36,1545,1,10
2020-08-22,31,1576,0,10
